n_amenageur;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations
Aix-Marseille-Provence;FR*M13*P13074*001;PEYROLLES-EN-PROVENCE - Parking De L'Abreuvoir;Allée des Coudercs - Parking aire de jeu 0 PEYROLLES-EN-PROVENCE;13074;5.584868;43.645533;0;FR*M13*E13074*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13208*001;MARSEILLE-8E - Boulevard Edouard Herriot;Boulevard Edouard Herriot  13008 MARSEILLE-8E;13208;5.390105;43.272778;2;FR*M13*E13208*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13021*001;CARRY-LE-ROUET - Avenue Aristide Briand;Avenue Aristide Briand 13620 CARRY-LE-ROUET;13021;5.151676;43.33248;2;FR*M13*E13021*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13213*003;MARSEILLE-13E - 61 Avenue De Saint-Just;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-13E;13213;5.404849;43.317055;0;FR*M13*E13213*003*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13047*015;ISTRES - Centre Commercial Prédina;Centre Commercial Prédina 13800 ISTRES;13047;4.987945;43.493681;2;FR*M13*E13047*015*2;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13022*001;CASSIS - Parking Savon;Parking Savon 13260 CASSIS;13022;5.53811;43.213528;6;FR*M13*E13022*001*5;4;EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13071*001;LES PENNES-MIRABEAU - Vieille Route De La Gavotte (Eglise Des Cadeneaux);Vieille Route De La Gavotte (Eglise Des Cadeneaux) 13170 LES PENNES-MIRABEAU;13071;5.340986;43.393554;2;FR*M13*E13071*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13214*003;MARSEILLE-14E - 9 Boulevard Gay Lussac;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-14E;13214;5.374552;43.332198;0;FR*M13*E13214*003*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13103*004;SALON-DE-PROVENCE - 270 Rue Victor Grignard;Allée des Coudercs - Parking aire de jeu 0 SALON-DE-PROVENCE;13103;5.056872;43.638515;0;FR*M13*E13103*004*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13054*002;MARIGNANE - Place Alderic Chave;Place Alderic Chave 13700 MARIGNANE;13054;5.213539;43.417033;0;FR*M13*E13054*002*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13009*001;LA BARBEN - Route Des Feissiniers - Parking Tennis;Route Des Feissiniers - Parking Tennis 13330 LA BARBEN;13009;5.176413;43.629899;2;FR*M13*E13009*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13070*001;LA PENNE-SUR-HUVEAUNE - Boulevard Voltaire;Boulevard Voltaire 13821 LA PENNE-SUR-HUVEAUNE;13070;5.517073;43.281395;2;FR*M13*E13070*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13203*004;MARSEILLE-3E - 418 Rue René Cassin;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-3E;13203;5.372985;43.315151;0;FR*M13*E13203*004*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13115*001;VERNEGUES - Route Du Château Bas;Route Du Château Bas 0 VERNEGUES;13115;5.205005;43.689299;2;FR*M13*E13115*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13119*001;CARNOUX-EN-PROVENCE - Place Du Maréchal Lyautey;Place Du Maréchal Lyautey 13470 CARNOUX-EN-PROVENCE;13119;5.566859;43.255951;2;FR*M13*E13119*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13047*010;ISTRES - Gymnase Donadieu;Gymnase Donadieu 13800 ISTRES;13047;4.988791;43.507643;4;FR*M13*E13047*010*2;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13207*006;MARSEILLE-7E - Square Du Lieutenant Danjaume;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-7E;13207;5.351102;43.286276;0;FR*M13*E13207*006*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13213*001;MARSEILLE-13E - Avenue Des Poilus;Avenue Des Poilus 13013 MARSEILLE-13E;13213;5.455123;43.32522;2;FR*M13*E13213*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13033*001;ENSUES-LA-REDONNE - Parking Des Coulins;Parking Des Coulins 13820 ENSUES-LA-REDONNE;13033;5.193556;43.356012;2;FR*M13*E13033*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13213*004;MARSEILLE-13E - 34 Avenue Laveran;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-13E;13213;5.413793;43.326733;0;FR*M13*E13213*004*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13114*001;VENTABREN - Avenue Charles De Gaulle;Avenue Charles De Gaulle 13122 VENTABREN;13114;5.293237;43.54659;2;FR*M13*E13114*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13055*006;MARSEILLE - Parking De La Mairie, Bd Bouyala D'Arnaud;Parking De La Mairie, Bd Bouyala D'Arnaud 13000 MARSEILLE;13055;5.443135;43.297307;2;FR*M13*E13055*006*2;4;EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13023*001;CEYRESTE - Chemin Des Peupliers;Chemin Des Peupliers 13600 CEYRESTE;13023;5.624754;43.210398;2;FR*M13*E13023*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13107*001;SIMIANE-COLLONGUE - 4 Rue Lambert;Allée des Coudercs - Parking aire de jeu 0 SIMIANE-COLLONGUE;13107;5.436711;43.429731;0;FR*M13*E13107*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13206*002;MARSEILLE-6E - Avenue De Delphes;Avenue De Delphes 13006 MARSEILLE-6E;13206;5.388323;43.284704;0;FR*M13*E13206*002*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13075*001;PLAN-DE-CUQUES - Rue Du 14 Juillet - Parking Piscine;Rue Du 14 Juillet - Parking Piscine 13380 PLAN-DE-CUQUES;13075;5.46472;43.347677;2;FR*M13*E13075*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13215*006;MARSEILLE-15E - 1 Place Alphonse Canovas;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-15E;13215;5.35584;43.371302;0;FR*M13*E13215*006*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13205*005;MARSEILLE-5E - Boulevard Jean Moulin (Jarret);Boulevard Jean Moulin (Jarret) 13005 MARSEILLE-5E;13205;5.400273;43.289235;2;FR*M13*E13205*005*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13042*002;GEMENOS - D396;D396 0 GEMENOS;13042;5.627451;43.293444;0;FR*M13*E13042*002*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13047*002;ISTRES - Parking Des Arnavaux;Parking Des Arnavaux 13800 ISTRES;13047;4.990593;43.513977;4;FR*M13*E13047*002*1;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13014*003;BERRE-L'ETANG - Parking De L'Europe;Parking De L'Europe 13130 BERRE-L'ETANG;13014;5.168563;43.477008;2;FR*M13*E13014*003*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13215*002;MARSEILLE-15E - Chemin Des Bourrely;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-15E;13215;5.361972;43.379781;0;FR*M13*E13215*002*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13205*002;MARSEILLE-5E - Boulevard Baille;Boulevard Baille 13005 MARSEILLE-5E;13205;5.396151;43.289353;2;FR*M13*E13205*002*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13055*002;MARSEILLE - Parking Technoptic;Parking Technoptic 13000 MARSEILLE;13055;5.431385;43.344402;2;FR*M13*E13055*002*4;4;EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13047*016;ISTRES - Complexe Sportif Davini;Complexe Sportif Davini 13800 ISTRES;13047;4.992584;43.476179;2;FR*M13*E13047*016*2;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13002*003;ALLAUCH - Chemin Du Garlaban - Parking Monge;Chemin Du Garlaban - Parking Monge 0 ALLAUCH;13002;5.483673;43.336789;0;FR*M13*E13002*003*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13005*003;AUBAGNE - Centre De Vie Agora; Centre De Vie Agora 0 AUBAGNE;13005;5.603132;43.287061;0;FR*M13*E13005*003*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13110*001;TRETS - Place De La Libération;Place De La Libération 0 TRETS;13110;5.688023;43.448682;2;FR*M13*E13110*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13212*005;MARSEILLE-12E - 365 Avenue De Montolivet;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-12E;13212;5.42204;43.318421;0;FR*M13*E13212*005*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13212*003;MARSEILLE-12E - 3 Avenue Des Trois Lucs;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-12E;13212;5.464186;43.312781;0;FR*M13*E13212*003*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13047*001;ISTRES - Forum Des Carmes;Forum Des Carmes 13800 ISTRES;13047;4.986419;43.51365;2;FR*M13*E13047*001*2;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
